UBINumber,BusinessDbaName,EffectiveDate,ExpirationDate,Address1,City,State,Zip,ViolationNo,ViolationType,ViolationDate
604 365 798,DANNY'S CLEANING SERVICES LLC,12/04/2018,01/03/2025,1505 S RD 40 E #306,PASCO,WA,99301,,,
604 287 323,DAYAS CLEANING SERVICES,01/14/2019,01/14/2025,2604 20TH AVE SW,PUYALLUP,WA,98371,,,
602 742 135,Davispro Cleaning Services,12/10/2012,12/10/2016,"2324 East Euclid Ave, Ste 103",SPOKANE,WA,99207,,,
604 660 412,DUSTY CLEANING SERVICES LLC,09/30/2020,09/30/2022,4819 West Canal Drive Apt C,KENNEWICK,WA,99336,,,
604 194 586,FUNAX CLEANING SERVICES INC,06/03/2021,06/14/2025,PO BOX 775,GRESHAM,OR,97030,,,
602 659 341,FG Cleaning Services,08/05/2014,08/05/2018,3105 S 47th ST APT H93,TACOMA,WA,98409,,,
603 200 677,A & G CLEANING SERVICES LLC,09/30/2016,09/30/2018,PO BOX 23014,FEDERAL WAY,WA,98093,,,
603 396 600,AUGUSTA CLEANING SERVICES,12/19/2014,12/19/2018,5087 Lincoln Rd,BLAINE,WA,98230,,,
604 809 489,COMFORT CLEANING SERVICES LLC,02/01/2022,02/01/2024,PO BOX 820704,VANCOUVER,WA,98682,,,
604 455 223,EXTREME CLEANING SERVICES LLC,08/20/2019,09/07/2023,914 S 251st ST,DES MOINES,WA,98198,,,
604 036 295,ELITE CLEANING SERVICES,09/26/2022,09/26/2024,4821 36TH ST NE,TACOMA,WA,98422,,,
604 377 092,EDGAR'S CLEANING SERVICES,07/03/2019,07/27/2023,5301 Plomondon st,Vancouver,WA,98661,,,
604 987 589,ELY'S CLEANING SERVICES LLC,01/13/2023,01/13/2025,7511 188TH ST CT E,PUYALLUP,WA,98375,,,
602 803 248,CJ'S CLEANING SERVICES,09/14/2022,09/14/2024,3123 113TH AVE SE,BELLEVUE,WA,98004,,,
602 663 009,EVERETT CLEANING SERVICES,04/01/2014,04/01/2018,8900 8TH AVE W,EVERETT,WA,98204,,,
603 289 328,HOOD CLEANING SERVICES,05/01/2015,05/01/2017,4259 S 173RD ST,SEATAC,WA,98188,,,
603 283 540,KAJENA CLEANING SERVICES LLC,10/17/2016,10/17/2018,3010 NE 147TH ST #3,SHORELINE,WA,98155,,,
603 479 930,KACEY'S CLEANING SERVICES,09/20/2021,09/20/2023,2522 KRISTINE CT,CENTRALIA,WA,98531,,,
604 010 919,KAT'S CLEANING SERVICES,12/02/2016,12/02/2018,710 S GRANITE AVE,GRANITE FALLS,WA,98252,,,
604 048 992,NORA'S CLEANING SERVICES,11/15/2016,11/15/2018,7807 WHITEBLUFF CT,PASCO,WA,99301,,,
603 431 603,KB CLEANING SERVICES,07/18/2019,07/18/2021,20806 NE RICHMOND RD,BRUSH PRAIRIE,WA,98606,,,
605 095 511,KACEY'S CLEANING SERVICES LLP,09/13/2023,09/13/2025,2522 KRISTINE CT,CENTRALIA,WA,98531,,,
604 552 860,KEN CLEANING SERVICES LLC,11/16/2022,11/16/2024,10433 SE KENT-KANGLEY RD #415,KENT,WA,98030,,,
603 607 703,NO REGRETS CLEANING SERVICES,05/06/2016,05/06/2018,10251 W 18TH PLACE,KENNEWICK,WA,99338,,,
603 304 672,IPRO CLEANING SERVICES,10/28/2015,10/28/2025,180 Rock Island Rd,E Wenatchee,WA,98802,,,
604 790 860,J&L CLEANING SERVICES LLC,08/25/2021,08/25/2023,1159 N 61ST AVE,WEST RICHLAND,WA,99353,,,
603 143 789,J & J Roof Cleaning Services,09/15/2011,09/15/2023,9730 18th AVE W,EVERETT,WA,98204,,,
604 978 837,KELIAN CLEANING SERVICES,11/22/2022,11/22/2024,PMB 1130,SEATTLE,WA,98104,,,
604 235 210,MULAN'S CLEANING SERVICES,03/29/2018,03/29/2020,1339 IVY ROAD,BREMERTON,WA,98310,,,
603 377 474,MONSTER CLEANING SERVICES,05/05/2015,11/07/2021,8103 47th AVE NE,MARYSVILLE,WA,98270,,,
603 564 763,NEWBERG CLEANING SERVICES LLC,12/29/2015,01/03/2024,699 GORE RD,KALAMA,WA,98625,,,
,BRIDGETOWN EXTERIOR CLEANING SERVICES,,,,PORTLAND,WA,,NBERU01910,CONSTRUCTION INFRACTION,02/27/2019
604 330 652,N&M CLEANING SERVICES,01/23/2019,01/23/2021,14108 74th Avenue Ct E,PUYALLUP,WA,98373,,,
604 847 513,MIRIAN'S CLEANING SERVICES LLC,01/07/2022,01/07/2024,14928 W THORNE LN SW #19,SEATTLE,WA,98198,,,
601 809 639,LYNNWOOD CLEANING SERVICES,10/12/2016,10/12/2018,PO BOX 731,LYNNWOOD,WA,98036,,,
604 143 340,L&R CLEANING SERVICES LLC,11/27/2017,11/27/2019,8407 Harvard Ct SE,LACEY,WA,98503,,,
602 940 903,Maga Cleaning Services,10/10/2014,10/10/2024,14080 Olympic Dr SE,OLALLA,WA,98359,,,
603 016 842,MBA CLEANING SERVICES LLC,05/10/2013,09/29/2022,11611 55TH AVE NE,MARYSVILLE,WA,98271,,,
603 494 342,MAGIC TOUCH CLEANING SERVICES,08/25/2021,08/25/2025,1515 W 7TH AVENUE,KENNEWICK,WA,99336,,,
603 410 621,A&R TILE/CLEANING SERVICES LLC,11/21/2014,11/21/2018,10114 NE 134TH LANE C-104,KIRKLAND,WA,98034,,,
603 194 808,R & G PRESSURE WASHING LLC,04/03/2012,04/03/2022,2222 55TH ST SE,AUBURN,WA,98092,,,
602 904 940,SKYWAY CLEANING SERVICES,03/05/2012,07/18/2024,4801 S ROXBURY ST APT# C,SEATTLE,WA,98118,,,
603 318 597,SORIANOS CLEANING SERVICES,03/24/2022,03/24/2024,1514 29TH ST SE,AUBURN,WA,98002,,,
603 395 237,SMALL G CLEANING SERVICES LLC,01/08/2016,02/08/2024,609 212th st sw,BOTHELL,WA,98021,,,
604 531 970,PURE CLEANING SERVICES,04/28/2022,04/28/2024,1315 N 18TH ST,MOUNT VERNON,WA,98273,,,
604 929 335,PNJ HOOD CLEANING SERVICES,10/20/2022,10/20/2024,26431 110TH PL SE,KENT,WA,98030,,,
604 861 901,SML CLEANING SERVICES,02/01/2022,02/01/2024,8304 LOPEZ DR,PASCO,WA,99301,,,
604 195 460,PRIME CLEANING SERVICES INC,07/19/2018,07/19/2020,2821 146TH AVE E,SUMNER,WA,98390,,,
603 031 966,PROCLEAN CLEANING SERVICES,12/16/2014,12/16/2016,16212 BOTHELL EVERETT HWY F258,BOTHELL,WA,98012,,,
604 195 460,PRIME RENOVATIONS,07/02/2019,07/02/2021,2821 146TH AVE E,SUMNER,WA,98390,,,
602 784 832,Online Cleaning Services LLC,08/21/2013,06/10/2024,2689 Hwy 20,MARYSVILLE,CA,95901,,,
604 955 368,XTREME CLEANING SERVICES LLC,10/12/2022,10/12/2024,30634 8TH AVE S,FEDERAL WAY,WA,98003,,,
602 468 316,XTRA HANDS CLEANING SERVICES,10/02/2015,10/02/2017,10106 54TH DR NE,MARYSVILLE,WA,98270,,,
603 522 251,YAYAS PNTG & CLEANING SERVICES,05/12/2016,05/20/2024,4248 S JUNEAU ST,SEATTLE,WA,98118,,,
604 926 146,PETER'S CLEANING SERVICES LLC,07/11/2022,07/11/2024,PO BOX 333,SHAW ISLAND,WA,98286,,,
601 944 711,INDEPENDENT CLEANING SERVICES,07/14/2015,08/16/2019,14150 NE 20 ST #455,BELLEVUE,WA,98007,,,
604 983 859,WONDER CLEANING SERVICES LLC,10/27/2022,10/27/2024,3001 S 288TH ST TRLR 85,FEDERAL WAY,WA,98003,,,
604 783 945,SUNSHINE CLEANING SERVICES,08/12/2022,08/12/2024,20213 50TH AVE E,SPANAWAY,WA,98387,,,
604 015 080,STUNNING CLEANING SERVICES,07/18/2016,01/02/2021,PO BOX 5075,PASCO,WA,99301,,,
604 204 636,SUPER STAR CLEANING SERVICES,01/31/2018,01/31/2020,27 235TH PL SW,BOTHELL,WA,98021,,,
603 287 593,TKO CLEANING SERVICES LLC,09/16/2013,09/30/2017,4417 1/2 SW DAWSON ST,SEATTLE,WA,98136,,,
604 183 156,TAMI'S CLEANING SERVICES LLC,04/02/2018,04/02/2020,2606 CASCADE PL WEST #15,UNIVERSITY PLACE,WA,98466,,,
604 723 089,CORTES CLEANING SERVICES LLC,,,1225 W CASINO RD APT B4,EVERETT,WA,98204-1521,,,
604 871 625,B3E CLEANING SERVICES LLC,,,2159 S UNDERWOOD CT,KENNEWICK,WA,99337-3637,,,
602 191 632,AMM CLEANING SERVICES,,,12515 LAKE CITY WAY,SEATTLE,WA,98125,,,
604 847 829,ELENAS CLEANING SERVICES LLC,,,1308 S 359TH ST,FEDERAL WAY,WA,98003-7434,,,
603 423 312,EXPRESS CLEANING SERVICES,,,PO BOX 821565,VANCOUVER,WA,98682-0036,,,
601 383 316,NEW IMAGE CLEANING SERVICES IN,,,5614 SEAHURST AVE,EVERETT,WA,98203-0000,,,
605 167 715,GR8 CLEANING SERVICES LLC THE,,,14233 81ST AVE NE,KIRKLAND,WA,98034-5059,,,
601 768 150,"DETAILS CLEANING SERVICES, INC",,,PO BOX 2619,AUBURN,WA,98071-2619,,,
602 663 594,COTY CLEANING SERVICES INC,,,17675 SW FARMINGTON RD PMB 224,BEAVERTON,OR,97007-3208,,,
604 656 101,GENPRO CLEANING SERVICES LLC,,,8110 43RD AVE NE # A,MARYSVILLE,WA,98270-6416,,,
601 929 636,HAPPE CLEANING SERVICES,,,C/O RUDY KLER 2065 1ST AVE E,SPANAWAY,WA,98387,,,
604 000 789,H&K CLEANING SERVICES,,,300 VUEMONT PL NE APT G304,RENTON,WA,98056-4530,,,
601 432 464,A & B CLEANING SERVICES INC.,,,408 W 28TH ST,VANCOUVER,WA,98660,,,
603 341 777,HARVARD CLEANING SERVICES LLC,,,8129 BEVERLY BLVD,EVERETT,WA,98203-6708,,,
603 621 508,ALL WAYS CLEANING SERVICES LLC,,,PO BOX 365,MARYSVILLE,WA,98270-0365,,,
A39 750 800,CLEANING SERVICES,,,803 VANDERCOOK WAY,LONGVIEW,WA,98632,,,
604 608 062,C&K CLEANING SERVICES LLC,,,3715 S 182ND ST APT C119,SEA TAC,WA,98188-4991,,,
604 412 174,LAURAS CLEANING SERVICES LLC,,,ATTN TAXMEDICS 101 S WASHINGTON ST STE C,KENNEWICK,WA,99336-5116,,,
604 114 941,LATINOS CLEANING SERVICES LLC,,,819 MALAGA AVE APT 5,WENATCHEE,WA,98801-6400,,,
602 278 089,NOBLE CLEANING SERVICES INC,,,5111 NACHES HEIGHTS RD,YAKIMA,WA,98908,,,
605 164 616,RUBIOS CLEANING SERVICES LLC,,,1520 S 94TH ST,TACOMA,WA,98444-4274,,,
604 858 647,POPOCA CLEANING SERVICES LLC,,,314 HEMLOCK ST,CENTRALIA,WA,98531-1212,,,
603 275 910,"INTEGRITY CLEANING SERVICES, L",,,12702 E CONNOR RD,VALLEYFORD,WA,99036,,,
603 092 546,DIVINITY CLEANING SERVICES INC,,,ATTN AARON WIRES 317 NE WASHINGTON AVE,CENTRALIA,WA,98532,,,
603 124 991,KC CLEANING SERVICES,,,2735 SW 342ND ST,FEDERAL WAY,WA,98023-7605,,,
603 421 284,L&A CLEANING SERVICES LLC,,,23206 50TH AVE W,MT LK TERRACE,WA,98043-4809,,,
602 073 474,ISLAND CLEANING SERVICES INC,,,PO BOX 127,COUPEVILLE,WA,98239-0127,,,
603 578 553,CREST CLEANING SERVICES LLC,,,325 WASHINGTON AVE S STE 380,KENT,WA,98032-5767,,,
601 351 685,CLEANING SERVICES ETC,,,9330 15TH AVENUE SOUTH NO D,SEATTLE,WA,98108-5106,,,
,,,,,,,,,,
603 041 728,DUNGENESS CLEANING SERVICES LL,,,PO BOX 303,NORTH SAN JUAN,CA,95960,,,
604 129 704,DR FLAWLESS CLEANING SERVICES,,,1207 GOLDFINCH AVE SW,ORTING,WA,98360-8211,,,
602 714 708,C&V CLEANING SERVICES,,,PO BOX 216,CHEHALIS,WA,98532-0216,,,
603 619 270,A LIST CLEANING SERVICES LLC,,,311 W 25TH ST,VANCOUVER,WA,98660-2545,,,
604 973 887,A&M CLEANING SERVICES LLC,,,19941 RHODODENDRON DR E,BONNEY LAKE,WA,98391,,,
,,,,,,,,,,
604 813 770,C I N CLEANING SERVICES LLC,,,1203 N 10TH PL APT 1436,RENTON,WA,98057-5472,,,
603 606 194,ALIMAC PRO INC,08/10/2020,08/10/2024,17403 OSPREY RD,Arlington,WA,98223,,,
,,,,,,,,,,
,,,,,,,,,,
604 310 083,K&C CLEANING SERVICES,,,4112 N WOODLAWN RD,SPOKANE VALLEY,WA,99216-1235,,,
604 832 020,J & J ROOF CLEANING SRVC LLC,03/23/2022,03/23/2024,PO BOX 4406,EVERETT,WA,98204,,,
604 316 584,ZEALOUS CLEANING SERVICES,,,17009 NE 12TH AVE,RIDGEFIELD,WA,98642-5650,,,
604 265 520,GRANADOS CLEANING SERVICES LLC,,,856 CENTRAL AVE S TRLR 18,KENT,WA,98032-6143,,,
,,,,,,,,,,
604 321 111,FABY QUALITY CLEANING SERVICES,,,5911 14TH AVE NE,TULALIP,WA,98271,,,
604 396 203,FISHER CLEANING SERVICES INC,,,PO BOX 2610,LONGVIEW,WA,98632-8651,,,
603 444 284,GO GREEN CLEANING SERVICES LLC,,,1104 122ND PL SW #2,EVERETT,WA,98204-5621,,,
604 425 689,FLORES MA CLEANING SERVICES LL,,,28454 168TH AVE SE UNIT 24,KENT,WA,98042-9405,,,
605 164 438,J&R HOME CLEANING SERVICES LLC,,,909 NW 63RD ST,SEATTLE,WA,98107-2215,,,
604 122 362,NIZAS CLEANING SERVICES LLC,,,30406 PACIFIC HWY S STE D,FEDERAL WAY,WA,98003-5129,,,
604 774 124,RAINBOW CLEANING SERVICES LLC,,,18520 52ND AVE W APT 18,LYNNWOOD,WA,98037-4538,,,
,,,,,,,,,,
604 671 955,SUNFLOWER CLEANING SERVICES L,,,213 ROOSEVELT DR,GRAND COULEE,WA,99133-9795,,,
603 086 609,SPOTLESS CLEANING SERVICES,,,1120 S 25TH ST TRLR 44,MOUNT VERNON,WA,98274-4752,,,
604 362 067,M & E CLEANING SERVICES,,,14104 11TH AVE SW,BURIEN,WA,98166-1402,,,
604 170 342,R & R CLEANING SERVICES,,,601 S BEECH AVE,PASCO,WA,99301-4403,,,
603 020 509,R & Z CLEANING SERVICES,,,1321 E 62ND ST,TACOMA,WA,98404-3535,,,
603 136 145,R & N CLEANING SERVICES,,,8695 GREEN RD,BURLINGTON,WA,98233-6822,,,
605 223 941,M&V CLEANING SERVICES LLC,,,14114 108TH AVE NE,KIRKLAND,WA,98034-4474,,,
,,,,,,,,,,
,,,,,,,,,,
604 159 146,WISH CLEANING SERVICES LLC,,,12829 60TH LN S APT H3,SEATTLE,WA,98178-3597,,,
604 773 817,ROSE QUEEN CLEANING SERVICES L,,,WALTER LUCEN 1520 NE 172ND AVE,PORTLAND,OR,97230-6006,,,
603 425 437,J & K CLEANING SERVICES,,,10226 169TH PL NE,ARLINGTON,WA,98223,,,
603 076 237,LEGACY CLEANING SERVICES,,,8409 44TH ST W,UNIVERSITY PL.,WA,98466-7511,,,
604 833 453,WASHINGTON CLEANING SERVICES L,,,3221 MEADOW AVE N,RENTON,WA,98056-1924,,,
602 579 952,LJ CLEANING SERVICES,,,18666 REDMOND WAY # GG-2056,REDMOND,WA,98052,,,
602 328 900,SPIC N SPAN CLEANING SERVICES,,,3111 132ND ST SE APT C304,EVERETT,WA,98208,,,
602 507 086,T & T CLEANING SERVICES,,,3435 PINEHURST CT,BELLINGHAM,WA,98226,,,
,,,,,,,,,,
604 603 098,THUMBS UP CLEANING SERVICES LL,,,615 SW CITY VIEW STREET,PULLMAN,WA,99163,,,
603 335 733,SKYLAR CLEANING SERVICES LLC,,,3300 VALENTINE LN SE STE A102,PORT ORCHARD,WA,98366-5646,,,
603 531 800,SUPREMA CLEANING SERVICES LLC,,,14725 NE 20TH ST APT D33,BELLEVUE,WA,98007,,,
604 171 012,SIMPLY GREEN CLEANING SERVICES,,,9516 7TH AVE NW,SEATTLE,WA,98117-2127,,,
602 398 373,SANDYS HOUSE CLEANING SERVICES,,,99605 E REATA RD,KENNEWICK,WA,99338,,,
603 273 229,ARLINGTON ROOFING,10/14/2021,10/14/2023,23902 127TH AVE NE,ARLINGTON,WA,98223,,,
603 511 783,PUGET SOUND CLEANING SERVICES,,,3001 S 288TH ST TRLR# 112,FEDERAL WAY,WA,98003,,,
605 279 758,MUST BE NICE CLEANING SERVICES,,,17207 138TH AVENUE CT E,PUYALLUP,WA,98374-9143,,,
604 539 738,J & F CLEANING SERVICES,,,14620 NE 40TH ST APT S411,BELLEVUE,WA,98007-3355,,,
604 899 853,TSL CLEANING SERVICES LLC,,,4826 DIAMOND BLVD SW,LAKEWOOD,WA,98499-3835,,,
603 607 641,VARMEN CLEANING SERVICES LLC,,,201 W OAKVIEW AVE UNIT 45,CENTRALIA,WA,98531-3469,,,
601 169 769,PRO TECH CLEANING SERVICES,,,6727 12TH AVE SW,SEATTLE,WA,98106,,,
603 038 953,THE OLAMS CLEANING SERVICES,,,134 SW 116TH ST #H14,SEATTLE,WA,98146-4322,,,
,,,,,,,,,,
604 159 534,NW 5 STAR CLEANING SERVICES L,,,PO BOX 55,MOUNT VERNON,WA,98273-0055,,,
601 957 690,J & R CLEANING SERVICES INC,,,4502 68TH ST CT NW,GIG HARBOR,WA,98335,,,
A41 337 900,NORTH EAST CLEANING SERVICES,,,9412 NE 136TH,KIRKLAND,WA,98033,,,
604 270 389,PRISMATIC CLEANING SERVS LLC,03/29/2019,03/29/2025,P O Box 3283,FERNDALE,WA,98248,,,
602 698 313,NEW IMAGE CLEANING SERVICES,,,6305 NE 56TH AVE,VANCOUVER,WA,98661-1419,,,
605 316 594,PETO CLEANING SERVICES LLC,,,PO BOX 24623,FEDERAL WAY,WA,98093-1623,,,
,,,,,,,,,,
604 004 811,PERFECTION CLEANING SERVICES L,,,3302 CANTERBURY LN,PASCO,WA,99301,,,
605 162 548,SKYE CLEANING SERVICES LLC,,,11911 E GIBSON RD APT 5,EVERETT,WA,98204-5702,,,
603 456 924,MARALETH CLEANING SERVICES,,,5910 57TH DR NE,MARYSVILLE,WA,98270-9032,,,
603 005 366,MANPOWER CLEANING SERVICES LLC,,,21616 118TH PL SE,KENT,WA,98031,,,
603 574 616,MERCI CLEANING SERVICES LLC,,,1073 SE 326TH ST,FEDERAL WAY,WA,98023,,,
605 333 405,KVJ CLEANING SERVICES LLC,,,5726 NE WYGANT ST,PORTLAND,OR,97218-2653,,,
604 905 634,KRISTAL CLEANING SERVICES,,,24500 RUSSELL RD TRLR 3A,KENT,WA,98032-4247,,,
,,,,,,,,,,
,,,,,,,,,,
604 884 358,LIVYS HOUSE CLEANING SERVICES,,,15232 SE 272ND ST UNIT 102,KENT,WA,98042-4224,,,
,,,,,,,,,,
604 548 717,M&M CLEANING SERVICES LLC,,,18 SE 9TH CIR,BATTLE GROUND,WA,98604-8929,,,
604 777 015,JIHANS CLEANING SERVICES LLC,,,13445 MLK JR WAY S APT A303,SEATTLE,WA,98178-5201,,,
604 608 199,JESSICAS CLEANING SERVICES LLC,,,1204 ROAD 36,PASCO,WA,99301-2742,,,
602 618 876,J D M CLEANING SERVICES INC,,,6951 HANNEGAN RD STE 12,LYNDEN,WA,98264,,,
604 718 360,J&H CLEANING SERVICES INC,,,HEIDI MOCTEZUMA 615 S WALDEMAR AVE,PASCO,WA,99301-4446,,,
604 700 244,MONTES CLEANING SERVICES LLC,,,975 ABERDEEN AVE NE APT H302,RENTON,WA,98056-2893,,,
602 090 330,MR BOB S CLEANING SERVICES L,,,15959 NE 1ST ST,BELLEVUE,WA,98008,,,
604 352 477,JSD CLEANING SERVICES INC,,,2138 PRIEST BRIDGE CT STE 1,CROFTON,MD,21114-2463,,,
604 397 495,JTC CLNNG SRVCS RFNG/GTTRS LLC,03/08/2019,03/16/2025,13413 RIDGEWOOD DR E,BONNEY LAKE,WA,98391,,,
604 472 898,JR CLEANING SERVICES LLC,,,12211 SE 54TH ST,BELLEVUE,WA,98006-2814,,,
602 441 270,JOHNS CLEANING SERVICES INC,,,629 NW RICHMOND BEACH RD,SHORELINE,WA,98177,,,
604 080 769,JORDAN CLEANING SERVICES LLC,,,13710 96TH AVE E,PUYALLUP,WA,98373-5805,,,
602 841 901,AMOS CLEANING SERVICES INC,,,7532 24TH AVE NE,SEATTLE,WA,98115,,,
,,,,,,,,,,
,,,,,,,,,,
604 691 856,GENESIS CLEANING SERVICES LLC,,,NOLBY L MANZANARES 16058 3RD PL S STE A,BURIEN,WA,98148-1493,,,
604 948 443,FSAM CLEANING SERVICES LLC,,,1035 S 136TH ST,BURIEN,WA,98168-2759,,,
602 636 979,G & G CLEANING SERVICES LLC,,,PO BOX 84231,SEATTLE,WA,98124,,,
604 874 919,FRESH FINISH CLEANING SERVICES,,,13401 NE 28TH ST UNIT 218,VANCOUVER,WA,98682-8836,,,
604 388 718,HOLT CLEANING SERVICES LLC,,,18623 135TH ST E,BONNEY LAKE,WA,98391-9580,,,
604 166 524,HISTORIC CLEANING SERVICES LLC,,,10524 BROOK LN SW,LAKEWOOD,WA,98499-1612,,,
604 794 877,GRIZZZ CLEANING SERVICES LLC,,,4073 GILMAN AVE W APT 301,SEATTLE,WA,98199-1558,,,
604 883 060,HAPPY DAY CLEANING SERVICES LL,,,31208 NE 122ND AVE,BATTLE GROUND,WA,98604-9327,,,
,,,,,,,,,,
603 446 161,DORI CLEANING SERVICES LLC,,,13026 4TH AVE NW,SEATTLE,WA,98177-4209,,,
603 480 672,DOUBLE M CLEANING SERVICES LLC,,,70 E JUNIPER ST TRLR 112,OTHELLO,WA,99344-1354,,,
,,,,,,,,,,
601 994 464,ZERINGER CLEANING SERVICES INC,,,22383 PUMA LN NE,POULSBO,WA,98370,,,
604 295 760,D & E CLEANING SERVICES LLC,,,502 RAINIER AVE S STE 103,SEATTLE,WA,98144-1912,,,
605 270 865,EVERGLOW CLEANING SERVICES,,,100 N HOWARD ST STE STE 5450,SPOKANE,WA,99201-0508,,,
604 885 994,CUSTOM CLEANING SERVICES WASHI,,,226 N 7TH ST,MOUNT VERNON,WA,98273-3319,,,
605 164 153,ENEYDAS CLEANING SERVICES LLC,,,24011 49TH PL W,MT LK TERRACE,WA,98043-5603,,,
,,,,,,,,,,
,,,,,,,,,,
603 173 467,CROWNMART CLEANING SERVICES GR,,,311 W CASINO RD APT B201,EVERETT,WA,98204-1773,,,
604 134 951,BUDGET CLEANING SERVICES LLC,,,7207 198TH ST SW,LYNNWOOD,WA,98036-5852,,,
603 319 201,CARDONA CLEANING SERVICES,,,6307 78TH PL NE,MARYSVILLE,WA,98270-6217,,,
604 107 277,BOTTOM 2 TOP CLEANING SERVICES,,,26420 110TH PL SE,KENT,WA,98030-9049,,,
604 332 830,BEYOND CLEANING SERVICES LLC,,,2110 S 90TH ST APT L293,TACOMA,WA,98444-6832,,,
603 160 004,BLUE PACIFIC CLEANING SERVICES,,,22525 SE 64TH PL STE 200,ISSAQUAH,WA,98027,,,
605 220 219,B & M CLEANING SERVICES LLC,,,14320 SE 272ND ST,KENT,WA,98042-8006,,,
